seed_base,arm,population,timing,model,n,n_positive,auroc,auprc,brier
2026,F2,full_808,T0-T2,z_R+z_P,808,275,0.5585399965887772,0.37638776913106076,0.2701216623566663
3026,F0,ftv_complete_375,T0,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
3026,F0,ftv_complete_375,T0,C+F,375,110,0.6805831903945111,0.5101828185046933,0.2254734895410921
3026,F0,ftv_complete_375,T0,C+F+F0,375,110,0.6192109777015437,0.3904618385533027,0.24161515903653394
3026,F0,ftv_complete_375,T0-T1,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
3026,F0,ftv_complete_375,T0-T1,C+F,375,110,0.7471698113207548,0.5944760843663942,0.17065331409768403
3026,F0,ftv_complete_375,T0-T1,C+F+F0,375,110,0.6549914236706689,0.4760859978891967,0.21142967782298985
3026,F0,ftv_complete_375,T0-T2,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
3026,F0,ftv_complete_375,T0-T2,C+F,375,110,0.7652830188679245,0.6189550432272192,0.16661367686352274
3026,F0,ftv_complete_375,T0-T2,C+F+F0,375,110,0.6662778730703258,0.4750116593579651,0.23464461666764413
3026,F0,full_808,T0,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
3026,F0,full_808,T0,C+F0,808,275,0.6910523622718745,0.5406552446144157,0.20607358845995888
3026,F0,full_808,T0,F0,808,275,0.538270509977827,0.3707991443141836,0.2566958719899917
3026,F0,full_808,T0-T1,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
3026,F0,full_808,T0-T1,C+F0,808,275,0.6925601228040251,0.5345141344243457,0.20618663780801655
3026,F0,full_808,T0-T1,F0,808,275,0.5429097731536756,0.3778054503479803,0.2804945188761642
3026,F0,full_808,T0-T2,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
3026,F0,full_808,T0-T2,C+F0,808,275,0.6621797714480642,0.49777385678046343,0.22448514994249585
3026,F0,full_808,T0-T2,F0,808,275,0.5173187787821933,0.3526703514103199,0.2811160679058014
3026,F1,ftv_complete_375,T0,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
3026,F1,ftv_complete_375,T0,C+F,375,110,0.6805831903945111,0.5101828185046933,0.2254734895410921
3026,F1,ftv_complete_375,T0,C+F+z_P,375,110,0.6015094339622642,0.3931085863669682,0.24883473263185252
3026,F1,ftv_complete_375,T0,C+F+z_R,375,110,0.6554716981132075,0.4508154072686606,0.2078150199499329
3026,F1,ftv_complete_375,T0,C+F+z_R+z_P,375,110,0.5818524871355061,0.3632285732669379,0.2748870211856067
3026,F1,ftv_complete_375,T0-T1,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
3026,F1,ftv_complete_375,T0-T1,C+F,375,110,0.7471698113207548,0.5944760843663942,0.17065331409768403
3026,F1,ftv_complete_375,T0-T1,C+F+z_P,375,110,0.648679245283019,0.42217834583960195,0.23499011708519651
3026,F1,ftv_complete_375,T0-T1,C+F+z_R,375,110,0.6435334476843911,0.4426546440141389,0.2180716432887507
3026,F1,ftv_complete_375,T0-T1,C+F+z_R+z_P,375,110,0.6252487135506003,0.3965670581847849,0.24282098046293207
3026,F1,ftv_complete_375,T0-T2,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
3026,F1,ftv_complete_375,T0-T2,C+F,375,110,0.7652830188679245,0.6189550432272192,0.16661367686352274
3026,F1,ftv_complete_375,T0-T2,C+F+z_P,375,110,0.6696740994854201,0.42901628254531954,0.22383136638344925
3026,F1,ftv_complete_375,T0-T2,C+F+z_R,375,110,0.6721783876500858,0.4491697087708041,0.22145996981910246
3026,F1,ftv_complete_375,T0-T2,C+F+z_R+z_P,375,110,0.6737221269296741,0.43996842197229186,0.23047710010782657
3026,F1,full_808,T0,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
3026,F1,full_808,T0,C+z_P,808,275,0.6855466484734778,0.5232120171466603,0.2141732332031874
3026,F1,full_808,T0,C+z_R,808,275,0.6992665870714652,0.5372568103072732,0.21111329882406105
3026,F1,full_808,T0,C+z_R+z_P,808,275,0.6919597475695036,0.5282913837974726,0.21086791324845472
3026,F1,full_808,T0,z_P,808,275,0.5096025925294219,0.3479678005857969,0.2508935107924288
3026,F1,full_808,T0,z_R,808,275,0.526201603274774,0.35481441678659376,0.2457272766109375
