arm,seed_base,fold,state,dimension,variance,std,pcr_labels_used
F2,2026,1,z_P,47,0.017158515001098582,0.1309905149279847,False
F2,2026,1,z_P,48,0.018262937789195476,0.13514043728357356,False
F2,2026,1,z_P,49,0.010275519187108487,0.10136823559236141,False
F2,2026,1,z_P,50,0.01656270046875413,0.12869615560984768,False
F2,2026,1,z_P,51,0.015200859334503363,0.12329176507173284,False
F2,2026,1,z_P,52,0.032083871302384805,0.1791197122105348,False
F2,2026,1,z_P,53,0.009146844879937487,0.09563913884983222,False
F2,2026,1,z_P,54,0.006931203685150709,0.08325385087280172,False
F2,2026,1,z_P,55,0.02140184042751125,0.146293678699769,False
F2,2026,1,z_P,56,0.010453731907956385,0.1022434932304075,False
F2,2026,1,z_P,57,0.03127012370466972,0.17683360456844655,False
F2,2026,1,z_P,58,0.006902128967560798,0.08307905251963818,False
F2,2026,1,z_P,59,0.015526719900046676,0.12460625947377875,False
F2,2026,1,z_P,60,0.013615216699769611,0.11668426071998576,False
F2,2026,1,z_P,61,0.008518164950290938,0.0922939052716426,False
F2,2026,1,z_P,62,0.016406250796081535,0.12808688768207904,False
F2,2026,1,z_P,63,0.02711600481041491,0.16466938030616046,False
F2,2026,1,z_P,64,0.015351405795737415,0.12390079013362834,False
F2,2026,1,z_P,65,0.009613228627967067,0.09804707353086611,False
F2,2026,1,z_P,66,0.010480442193885508,0.10237403085688043,False
F2,2026,1,z_P,67,0.012191066318248988,0.11041316188864889,False
F2,2026,1,z_P,68,0.016877891702080726,0.12991494025738812,False
F2,2026,1,z_P,69,0.012529010235130483,0.11193306140336948,False
F2,2026,1,z_P,70,0.019831256764801655,0.14082349507380384,False
F2,2026,1,z_P,71,0.024418521065532377,0.15626426675837435,False
F2,2026,1,z_P,72,0.014510598855755199,0.12045994710174499,False
F2,2026,1,z_P,73,0.008805158742905928,0.09383580736001544,False
F2,2026,1,z_P,74,0.016590643489636,0.1288046718470879,False
F2,2026,1,z_P,75,0.014007376345946445,0.1183527623080528,False
F2,2026,1,z_P,76,0.009887997320591464,0.09943840968454526,False
F2,2026,1,z_P,77,0.023211391598008044,0.15235285228051376,False
F2,2026,1,z_P,78,0.007628832102812023,0.08734318578350588,False
F2,2026,1,z_P,79,0.010400519305798533,0.10198293634622672,False
F2,2026,1,z_P,80,0.010290971183293494,0.1014444241113995,False
F2,2026,1,z_P,81,0.010449705138322293,0.1022237992755224,False
F2,2026,1,z_P,82,0.019178974414520367,0.13848817427679652,False
F2,2026,1,z_P,83,0.018393744703712814,0.13562354037449698,False
F2,2026,1,z_P,84,0.015252139862919465,0.12349955410008355,False
F2,2026,1,z_P,85,0.011153377184102892,0.10560955062920631,False
F2,2026,1,z_P,86,0.014373865115651929,0.11989105519450535,False
F2,2026,1,z_P,87,0.016623823401152028,0.12893340684691468,False
F2,2026,1,z_P,88,0.012519049006621446,0.11188855619151337,False
F2,2026,1,z_P,89,0.012026441535891141,0.10966513363823135,False
F2,2026,1,z_P,90,0.018909784195795348,0.13751285102053315,False
F2,2026,1,z_P,91,0.009798838956937748,0.09898908503940093,False
F2,2026,1,z_P,92,0.015944602992665757,0.12627194063870942,False
F2,2026,1,z_P,93,0.007486080971193296,0.0865221415083636,False
F2,2026,1,z_P,94,0.016651087430246892,0.12903909264345784,False
F2,2026,1,z_P,95,0.02220523686806922,0.14901421699981926,False
F2,2026,2,z_R,0,0.187999979021699,0.43358964358215357,False
F2,2026,2,z_R,1,0.12919538958834179,0.35943760180084355,False
F2,2026,2,z_R,2,0.7896595666000915,0.8886279123458206,False
F2,2026,2,z_R,3,0.20753724036924595,0.45556255373905125,False
F2,2026,2,z_R,4,0.9403822658904151,0.9697330900255055,False
F2,2026,2,z_R,5,0.08300766749524784,0.28811051264271464,False
F2,2026,2,z_R,6,0.1642470097072478,0.40527399337639197,False
F2,2026,2,z_R,7,0.36757316654087113,0.6062781263915689,False
F2,2026,2,z_R,8,0.7504836366537315,0.8663045865362433,False
F2,2026,2,z_R,9,0.4391294812842999,0.6626684550243054,False
