schema_version,split,group,endpoint,analysis_unit,x,y,n,spearman_rho,ci_low,ci_high,p_raw_two_sided,permutation_method,permutation_replicates,permutation_extreme_count,permutation_identity_included,permutation_status,decision_endpoint,decision_family,decision_family_size,p_holm,holm_rank,status,bootstrap_method,bootstrap_requested,bootstrap_finite,bootstrap_nonfinite,bootstrap_finite_fraction,resampling_bundle_sha256,contains_patient_ids
1,validation,encoder_stage_1,negative_fraction,seed_fold_run,base_degradation,negative_fraction,25,-0.1745960548862394,-0.7539041033094228,0.5087419220997647,0.40479166666666666,exact_crossed_seed_order_x_fold_order,14400,5829,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,19998,2,0.9999,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_stage_1,weighted_gradient_norm_ratio,seed_fold_run,base_degradation,weighted_gradient_norm_ratio,25,0.22461538461538463,-0.5540120532741035,0.8072289156626504,0.27958333333333335,exact_crossed_seed_order_x_fold_order,14400,4026,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_stage_1,base_descent_margin,seed_fold_run,base_degradation,base_descent_margin,25,0.36153846153846153,-0.32402169540500425,0.8888031432150523,0.10833333333333334,exact_crossed_seed_order_x_fold_order,14400,1560,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_stage_2,gradient_cosine,seed_fold_run,base_degradation,gradient_cosine,25,0.18692307692307694,-0.46713615023474186,0.7422680412371134,0.4309027777777778,exact_crossed_seed_order_x_fold_order,14400,6205,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_stage_2,negative_fraction,seed_fold_run,base_degradation,negative_fraction,25,-0.08730306553699593,-0.7326476893101156,0.5868320605930815,0.7057638888888889,exact_crossed_seed_order_x_fold_order,14400,10163,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,19999,1,0.99995,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_stage_2,weighted_gradient_norm_ratio,seed_fold_run,base_degradation,weighted_gradient_norm_ratio,25,0.24153846153846154,-0.5210150674068199,0.807634195245206,0.24118055555555556,exact_crossed_seed_order_x_fold_order,14400,3473,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_stage_2,base_descent_margin,seed_fold_run,base_degradation,base_descent_margin,25,0.21923076923076923,-0.5141861008571109,0.7678571428571428,0.333125,exact_crossed_seed_order_x_fold_order,14400,4797,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_stage_3,gradient_cosine,seed_fold_run,base_degradation,gradient_cosine,25,0.18384615384615385,-0.5186800219223314,0.7368295605253691,0.4234027777777778,exact_crossed_seed_order_x_fold_order,14400,6097,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_stage_3,negative_fraction,seed_fold_run,base_degradation,negative_fraction,25,-0.10759109697344868,-0.625,0.5224040146115614,0.6241666666666666,exact_crossed_seed_order_x_fold_order,14400,8988,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,19994,6,0.9997,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_stage_3,weighted_gradient_norm_ratio,seed_fold_run,base_degradation,weighted_gradient_norm_ratio,25,0.15153846153846154,-0.5391269039029312,0.6915157651626722,0.4747222222222222,exact_crossed_seed_order_x_fold_order,14400,6836,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_stage_3,base_descent_margin,seed_fold_run,base_degradation,base_descent_margin,25,0.28384615384615386,-0.3547824382595057,0.7692945923081925,0.20333333333333334,exact_crossed_seed_order_x_fold_order,14400,2928,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_stage_4,gradient_cosine,seed_fold_run,base_degradation,gradient_cosine,25,0.08846153846153845,-0.6024052865896654,0.7700780461548796,0.7033333333333334,exact_crossed_seed_order_x_fold_order,14400,10128,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_stage_4,negative_fraction,seed_fold_run,base_degradation,negative_fraction,25,0.002340324297803612,-0.6554346691055314,0.6646053776575802,0.99375,exact_crossed_seed_order_x_fold_order,14400,14310,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,19996,4,0.9998,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_stage_4,weighted_gradient_norm_ratio,seed_fold_run,base_degradation,weighted_gradient_norm_ratio,25,-0.006923076923076924,-0.6792065727699528,0.5958858471074364,0.9743055555555555,exact_crossed_seed_order_x_fold_order,14400,14030,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_stage_4,base_descent_margin,seed_fold_run,base_degradation,base_descent_margin,25,0.06769230769230769,-0.5821246569972559,0.725377094836299,0.785,exact_crossed_seed_order_x_fold_order,14400,11304,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,response_projection,gradient_cosine,seed_fold_run,base_degradation,gradient_cosine,25,0.24384615384615385,-0.547077922077922,0.8549588396707174,0.24,exact_crossed_seed_order_x_fold_order,14400,3456,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,response_projection,negative_fraction,seed_fold_run,base_degradation,negative_fraction,25,-0.1710128761914941,-0.7115727131423295,0.5227833095692237,0.42333333333333334,exact_crossed_seed_order_x_fold_order,14400,6096,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,19998,2,0.9999,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,response_projection,weighted_gradient_norm_ratio,seed_fold_run,base_degradation,weighted_gradient_norm_ratio,25,-0.12461538461538461,-0.7684394025489081,0.5495962602649085,0.519375,exact_crossed_seed_order_x_fold_order,14400,7479,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,response_projection,base_descent_margin,seed_fold_run,base_degradation,base_descent_margin,25,0.1376923076923077,-0.5367586430377767,0.7245696400625978,0.5069444444444444,exact_crossed_seed_order_x_fold_order,14400,7300,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,all_shared,gradient_cosine,seed_fold_run,base_degradation,gradient_cosine,25,0.08615384615384615,-0.6280988335511345,0.6844150796735328,0.7004166666666667,exact_crossed_seed_order_x_fold_order,14400,10086,True,ok,rho_cos,h1_primary_validation_all_shared,6,1.0,3,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,all_shared,negative_fraction,seed_fold_run,base_degradation,negative_fraction,25,-0.12301497707389865,-0.7083197797379984,0.5036294306731405,0.5827083333333334,exact_crossed_seed_order_x_fold_order,14400,8391,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,19997,3,0.99985,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,all_shared,weighted_gradient_norm_ratio,seed_fold_run,base_degradation,weighted_gradient_norm_ratio,25,0.21384615384615382,-0.5256604442918182,0.7435064935064934,0.31256944444444446,exact_crossed_seed_order_x_fold_order,14400,4501,True,ok,rho_ratio,h2_primary_validation_all_shared,2,0.31256944444444446,2,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,all_shared,base_descent_margin,seed_fold_run,base_degradation,base_descent_margin,25,0.16538461538461538,-0.5067518364063589,0.7305272290307494,0.47006944444444443,exact_crossed_seed_order_x_fold_order,14400,6769,True,ok,rho_mbase,h1_primary_validation_all_shared,6,1.0,1,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
