schema_version,seed_base,fold,effective_seed,base_gate,base_degradation,split,group,parameter_tensors,parameter_count,selected_epoch,last_epoch,selected_checkpoint_sha256,last_checkpoint_sha256,last_minus_selected_gradient_cosine,last_minus_selected_gradient_cosine_mean,last_minus_selected_negative_fraction,last_minus_selected_strong_negative_fraction,last_minus_selected_very_strong_negative_fraction,last_minus_selected_weighted_gradient_norm_ratio,last_minus_selected_weighted_gradient_norm_ratio_mean,last_minus_selected_base_descent_margin,last_minus_selected_base_descent_margin_mean,last_minus_selected_base_descent_failure_fraction,last_minus_selected_ftv_descent_margin,last_minus_selected_ftv_descent_margin_mean,selected_n_batches,last_n_batches,selected_n_undefined,last_n_undefined,source_contract_sha256,public_manifest_sha256,contains_patient_ids
1,3026,3,3029,FAIL,0.1806212022682307,train,response_projection,4,25152,2,6,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,7b01cad301df89281b5eaa1ed3ce9a4be7e2005a64def0324fbe753cc175afd7,0.04914987428971394,0.032487303937377913,-0.125,-0.125,0.0,0.09242388114799205,0.13615453966210384,0.009087526174990979,0.001595836873932166,0.0,0.13950089539884514,0.1820127044966432,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,3,3029,FAIL,0.1806212022682307,validation,all_shared,32,917824,2,6,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,7b01cad301df89281b5eaa1ed3ce9a4be7e2005a64def0324fbe753cc175afd7,0.1016864541363186,0.17771862643866826,-0.125,-0.125,-0.125,-0.29555205206960405,-0.325856964374879,-0.020688521751603073,-0.05451316528191752,0.0,6.385211631141779,6.621882645216172,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,3,3029,FAIL,0.1806212022682307,validation,encoder_overall,28,892672,2,6,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,7b01cad301df89281b5eaa1ed3ce9a4be7e2005a64def0324fbe753cc175afd7,0.09948048170542367,0.17552683813680336,-0.125,-0.125,-0.125,-0.30406723515075285,-0.3340591361683443,-0.02397449222641912,-0.06098617536304163,0.0,6.836927445042556,6.900496770905161,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,3,3029,FAIL,0.1806212022682307,validation,encoder_stage_1,7,10112,2,6,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,7b01cad301df89281b5eaa1ed3ce9a4be7e2005a64def0324fbe753cc175afd7,0.09549896946077513,0.1967500686926328,-0.125,-0.25,-0.25,-0.4758901570338943,-0.4803592344776783,-0.0892766670021401,-0.1735550914577877,0.0,11.761416489681196,10.125892993482879,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,3,3029,FAIL,0.1806212022682307,validation,encoder_stage_2,7,42112,2,6,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,7b01cad301df89281b5eaa1ed3ce9a4be7e2005a64def0324fbe753cc175afd7,0.021549988303873252,0.1103522813247024,-0.125,-0.125,-0.125,-0.4523370331530102,-0.4460463908949713,-0.07643884927199496,-0.1451876927998137,0.0,10.858850386365646,8.572431207403573,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,3,3029,FAIL,0.1806212022682307,validation,encoder_stage_3,7,168192,2,6,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,7b01cad301df89281b5eaa1ed3ce9a4be7e2005a64def0324fbe753cc175afd7,0.011049083474663685,0.07670476020995028,-0.125,-0.125,-0.125,-0.2752761069970898,-0.3372574615587605,-0.0382652967514554,-0.08522127056444928,0.0,5.740053367219632,5.590319115111376,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,3,3029,FAIL,0.1806212022682307,validation,encoder_stage_4,7,672256,2,6,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,7b01cad301df89281b5eaa1ed3ce9a4be7e2005a64def0324fbe753cc175afd7,0.06888056263321275,0.0341401907386942,-0.25,-0.125,0.0,-0.15765864679359115,-0.19055270734787444,0.004954442652318036,-0.01143207673722757,0.0,0.6377921578801804,0.79399533883227,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,3,3029,FAIL,0.1806212022682307,validation,response_projection,4,25152,2,6,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,7b01cad301df89281b5eaa1ed3ce9a4be7e2005a64def0324fbe753cc175afd7,-0.017679801833255203,-0.003481137742955713,0.125,0.125,0.0,-0.066059346188103,-0.09462224468599101,-0.00024403931939942503,-0.003986305305007765,0.0,-0.16244731863026596,0.002759267664998788,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,4026,0,4026,PASS,0.0497572558014174,train,all_shared,32,917824,3,7,059c924a192eab6f50820f2989f802719b50a5a8129bc46d2639fe440c78215b,6bdcf06413bb283a6033e45b61087f50b98f5a693eb14bae3e6e63ba283154e9,-0.3734120552117225,-0.25208425383838545,0.0,0.0,0.0,-0.08922521429348526,-0.10315699790692974,-0.06137303965328833,-0.03688038587681741,0.0,-0.7253736052056525,-5.816791620485189,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,4026,0,4026,PASS,0.0497572558014174,train,encoder_overall,28,892672,3,7,059c924a192eab6f50820f2989f802719b50a5a8129bc46d2639fe440c78215b,6bdcf06413bb283a6033e45b61087f50b98f5a693eb14bae3e6e63ba283154e9,-0.3893697293633583,-0.2588871089060342,0.0,0.0,0.0,-0.08796604769559703,-0.10380769663729458,-0.06164713461565419,-0.038353887263527175,0.0,-0.7803242751007868,-5.906565102435042,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
