schema_version,seed_base,fold,effective_seed,base_gate,base_degradation,checkpoint_kind,checkpoint_epoch,checkpoint_sha256,split,group,parameter_tensors,parameter_count,gradient_cosine,gradient_cosine_mean,negative_fraction,strong_negative_fraction,very_strong_negative_fraction,weighted_gradient_norm_ratio,weighted_gradient_norm_ratio_mean,base_descent_margin,base_descent_margin_mean,base_descent_failure_fraction,ftv_descent_margin,ftv_descent_margin_mean,n_batches,n_undefined,source_contract_sha256,public_manifest_sha256,contains_patient_ids
1,2026,1,2027,PASS,-0.0294939340174964,selected,2,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b,validation,encoder_stage_1,7,10112,-0.3221734611450118,-0.23831031135642688,0.625,0.625,0.625,0.5903020377918511,0.9109119750932928,0.8688680123432286,0.6616965640035241,0.125,0.679569163649016,0.7484748927272443,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,1,2027,PASS,-0.0294939340174964,selected,2,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b,validation,encoder_stage_2,7,42112,-0.09205588563199375,-0.06790489528263804,0.75,0.5,0.125,0.3966857752650095,0.6346156419269597,0.9641709201928006,0.9003156472041437,0.0,0.8260213696707303,0.9683764492418585,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,1,2027,PASS,-0.0294939340174964,selected,2,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b,validation,encoder_stage_3,7,168192,-0.07107486555685255,-0.06133352246443625,0.625,0.375,0.0,0.37641985585135074,0.548971255022707,0.9551101926231171,0.9547373042704799,0.0,0.9083956973606139,0.8688869594657275,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,1,2027,PASS,-0.0294939340174964,selected,2,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b,validation,encoder_stage_4,7,672256,-0.03198370521615325,-0.04600305509763697,0.75,0.25,0.0,0.27945742001328144,0.4042076379517278,0.9877795842374205,0.9859218629088118,0.0,0.8697211621375047,0.8271130153119588,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,1,2027,PASS,-0.0294939340174964,selected,2,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b,validation,response_projection,4,25152,-0.0348091039044116,-0.025184973805984976,0.75,0.0,0.0,0.22960302837342025,0.3252846619125769,0.9934948819161546,0.9994152409238724,0.0,0.8808937621384869,0.8008605363134116,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,2,2028,PASS,0.0116404418597209,selected,2,26782e70ea53e59095bd2459c49f44ba07d228a762791a42fa4955fb9a41126f,train,all_shared,32,917824,-0.1611942983689621,-0.10584380046078545,0.75,0.625,0.375,0.6507650654617807,0.7646061363091947,0.9600651080912475,0.9480852655005885,0.0,0.5690982768448445,0.6130615940398684,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,2,2028,PASS,0.0116404418597209,selected,2,26782e70ea53e59095bd2459c49f44ba07d228a762791a42fa4955fb9a41126f,train,encoder_overall,28,892672,-0.1667803418332128,-0.11107524395387239,0.75,0.625,0.375,0.6718038071917745,0.7858332266162995,0.9543298956518476,0.9419236691523774,0.0,0.5577333132979932,0.6101057802193063,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,2,2028,PASS,0.0116404418597209,selected,2,26782e70ea53e59095bd2459c49f44ba07d228a762791a42fa4955fb9a41126f,train,encoder_stage_1,7,10112,-0.2747516605140201,-0.23768881753520377,0.875,0.875,0.625,1.180943154524073,1.4243533966961484,0.7284460213718935,0.41909087941774004,0.125,0.6563783843458222,0.760746809052236,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,2,2028,PASS,0.0116404418597209,selected,2,26782e70ea53e59095bd2459c49f44ba07d228a762791a42fa4955fb9a41126f,train,encoder_stage_2,7,42112,-0.31596666272004076,-0.22713637584440366,0.75,0.75,0.625,0.9583484622174954,1.291794028762349,0.6622480880616219,0.6340865422645353,0.125,0.5450041458780253,0.5905767630035357,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,2,2028,PASS,0.0116404418597209,selected,2,26782e70ea53e59095bd2459c49f44ba07d228a762791a42fa4955fb9a41126f,train,encoder_stage_3,7,168192,-0.2151229460514626,-0.1403759415177391,0.875,0.625,0.375,0.7283592552660396,0.8700989111816368,0.8599112681922902,0.8915539393357923,0.0,0.5976746509484946,0.5903960493227537,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
