scope,selection_scope,fold,feature,transition,n,median_delta,iqr_delta,median_abs_delta,robust_scale_start_visit_iqr,median_standardized_abs_change,proportion_delta_positive,proportion_delta_negative,proportion_near_zero,near_zero_definition,mean_within_patient_variance,pooled_total_variance,within_to_total_variance_ratio,between_patient_variance_fraction
fold_train,True,3,SPH,T0→T1,242,0.005118890500000001,0.06866556749999997,0.035188597499999995,0.11468918749999996,0.3068170441088879,0.5082644628099173,0.4793388429752066,0.012396694214876033,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",0.006364836365032485,0.014319907826168682,0.44447467415964564,0.5555253258403543
fold_train,True,3,SPH,T1→T2,242,0.026385679999999995,0.103212845,0.05355359500000001,0.11672222249999997,0.4588123311308609,0.6652892561983471,0.30578512396694213,0.028925619834710745,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",0.006364836365032485,0.014319907826168682,0.44447467415964564,0.5555253258403543
fold_train,True,3,SPH,T2→T3,242,0.025106835000000022,0.10227483000000001,0.057075220000000024,0.15502556249999994,0.3681665080234755,0.6115702479338843,0.3677685950413223,0.02066115702479339,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",0.006364836365032485,0.014319907826168682,0.44447467415964564,0.5555253258403543
fold_train,True,3,BPE,T0→T1,242,-3.7687250000000017,9.711125000000003,5.678699999999999,18.507825,0.306826977238006,0.2768595041322314,0.7066115702479339,0.01652892561983471,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",70.55823004750583,185.83172946268664,0.37968881983457675,0.6203111801654233
fold_train,True,3,BPE,T1→T2,242,-2.217999999999999,9.04263,4.1546,14.767374999999998,0.28133639187736487,0.34297520661157027,0.6446280991735537,0.012396694214876033,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",70.55823004750583,185.83172946268664,0.37968881983457675,0.6203111801654233
fold_train,True,3,BPE,T2→T3,242,-1.2283,7.085125000000002,3.8081500000000004,10.771824999999998,0.35352876601690064,0.3925619834710744,0.5826446280991735,0.024793388429752067,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",70.55823004750583,185.83172946268664,0.37968881983457675,0.6203111801654233
fold_train,True,4,FTV,T0→T1,225,-4.967027,10.444409700000001,5.8326332999999995,23.4073697,0.24917935567959176,0.12,0.8533333333333334,0.02666666666666667,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",543.0653490207673,1545.6358919002998,0.35135399732021577,0.6486460026797842
fold_train,True,4,FTV,T1→T2,225,-3.7640624999999996,8.182784900000001,4.24034708,16.1395786,0.2627297270326501,0.09333333333333334,0.8755555555555555,0.03111111111111111,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",543.0653490207673,1545.6358919002998,0.35135399732021577,0.6486460026797842
fold_train,True,4,FTV,T2→T3,225,-0.8948240000000001,3.2358690899999996,1.206298871,4.490793180000001,0.2686159933555434,0.14222222222222222,0.7866666666666666,0.07111111111111111,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",543.0653490207673,1545.6358919002998,0.35135399732021577,0.6486460026797842
fold_train,True,4,LD,T0→T1,225,-0.3999999999999999,1.0,0.5999999999999996,2.1,0.28571428571428553,0.1511111111111111,0.7066666666666667,0.14222222222222222,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",2.212251888888889,4.8437235017283955,0.4567254691766544,0.5432745308233455
