task,fold,candidate,cell,n,predictor_transform,target_transform,model,fit_and_evaluation_scope,original_variance,residual_variance,residual_variance_ratio,original_iqr,residual_iqr,residual_iqr_ratio
static,3,BPE,T3,242,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,106.55512153126153,99.00798748394546,0.9291715504721012,11.217775000000001,10.63703115391021,0.9482300325965005
delta,3,BPE,T0→T1,242,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,151.97603605207,140.63656438875586,0.9253864493516004,9.711125000000003,9.40570283973085,0.968549250445324
delta,3,BPE,T1→T2,242,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,66.40218177200418,64.22994364739537,0.9672866453083225,9.04263,9.008149157676737,0.9961868568853017
delta,3,BPE,T2→T3,242,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,72.68901895333036,72.57334498731777,0.9984086459319687,7.085125000000002,7.222975142807009,1.0194562753384036
static,4,LD,T0,225,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.11533716558178349,0.07459655515740905,0.6467694500825407,0.43078291609245434,0.31128959267266665,0.7226135973457636
static,4,LD,T1,225,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.16321662055985156,0.11805456123095774,0.7232998748902972,0.4737843520856415,0.3336432542811356,0.7042091044425758
static,4,LD,T2,225,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.3788289321366513,0.25612480350753536,0.6760962053847195,0.7654678421395714,0.5860923364048813,0.7656655239319855
static,4,LD,T3,225,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.3812844292378353,0.3136666050025605,0.8226577875985159,1.1939224684724346,0.9601271477526567,0.8041788081776302
delta,4,LD,T0→T1,225,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,2.264259950617284,2.014378478508056,0.8896409963700921,1.0,0.8391710422258646,0.8391710422258646
delta,4,LD,T1→T2,225,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,2.561873777777778,2.4519958642736435,0.9571103328910119,1.5000000000000002,1.59294517751161,1.0619634516744065
delta,4,LD,T2→T3,225,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,1.9854224276543209,1.827862175020009,0.9206414461528666,1.4999999999999996,1.3585801285377754,0.9057200856918506
static,4,SPH,T0,225,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.008813429929076699,0.005876398746944229,0.6667550311550324,0.12553538,0.10660122501890187,0.8491727592564094
static,4,SPH,T1,225,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.008114750614038635,0.005835234589487186,0.7190898238316957,0.12421303999999997,0.09749993859153999,0.784941247646302
static,4,SPH,T2,225,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.01581354578989451,0.010963994302068795,0.6933292790713154,0.15032316,0.11158706648292502,0.7423145341205242
static,4,SPH,T3,225,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.02044863860134802,0.012684345801839214,0.620302703232431,0.19894478,0.13454670641811395,0.6763017678479122
delta,4,SPH,T0→T1,225,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.004746890764857779,0.004706560611688449,0.9915038800833796,0.073037903,0.07642877593700358,1.0464262088275396
delta,4,SPH,T1→T2,225,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.01253606061194146,0.012402956812442923,0.9893823264246389,0.09076782999999997,0.0907440715462366,0.999738250283571
delta,4,SPH,T2→T3,225,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.01722224881420243,0.017168355017636073,0.9968706876118342,0.09834332999999998,0.09957621055553578,1.0125364938886634
static,4,BPE,T0,225,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,285.5754786034234,271.90998322342915,0.9521475182434294,18.061200000000003,17.845167209911814,0.98803884625118
static,4,BPE,T1,225,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,155.44877589832927,148.16315477530958,0.953131691897112,15.2406,15.483189053304747,1.0159172902185443
static,4,BPE,T2,225,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,126.4819305038218,121.299818885154,0.9590288383642973,10.899299999999998,11.192586917231267,1.0269087847138136
static,4,BPE,T3,225,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,98.32426872082867,88.86608156570456,0.9038061784931382,10.8538,10.876883070771305,1.002126727115969
delta,4,BPE,T0→T1,225,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,147.3837704622206,144.2156894361979,0.9785045462191184,9.796000000000006,9.346084645744432,0.9540715236570463
delta,4,BPE,T1→T2,225,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,86.83474538773106,83.38059151586754,0.9602215235797587,9.219000000000001,9.47995632063201,1.0283063586757792
delta,4,BPE,T2→T3,225,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,83.557910594296,83.36951374922785,0.9977453140734587,7.7829,7.579666732437872,0.973887205596612
