scope,selection_scope,fold,candidate,transition,delta_definition,n,spearman,abs_spearman,pearson,abs_pearson,fold_median_abs_spearman
fold_train,True,2,LD,T2→T3,raw endpoint difference: X_end - X_start,240,0.33418974093435466,0.33418974093435466,0.11975884548828497,0.11975884548828497,0.33418974093435466
fold_train,True,2,SPH,T0→T1,raw endpoint difference: X_end - X_start,240,-0.07084063959443739,0.07084063959443739,-0.09187638526926177,0.09187638526926177,0.1453966214691227
fold_train,True,2,SPH,T1→T2,raw endpoint difference: X_end - X_start,240,-0.1453966214691227,0.1453966214691227,-0.025432248591196385,0.025432248591196385,0.1453966214691227
fold_train,True,2,SPH,T2→T3,raw endpoint difference: X_end - X_start,240,-0.3224517786767131,0.3224517786767131,-0.054615331849698454,0.054615331849698454,0.1453966214691227
fold_train,True,2,BPE,T0→T1,raw endpoint difference: X_end - X_start,240,0.27830951926248715,0.27830951926248715,0.14984239581221825,0.14984239581221825,0.27830951926248715
fold_train,True,2,BPE,T1→T2,raw endpoint difference: X_end - X_start,240,0.22045174395388809,0.22045174395388809,0.16034638328338688,0.16034638328338688,0.27830951926248715
fold_train,True,2,BPE,T2→T3,raw endpoint difference: X_end - X_start,240,0.32065226826854626,0.32065226826854626,0.07160007035937882,0.07160007035937882,0.27830951926248715
fold_train,True,3,LD,T0→T1,raw endpoint difference: X_end - X_start,242,0.4043983262854994,0.4043983262854994,0.21741616961021493,0.21741616961021493,0.3694658084820868
fold_train,True,3,LD,T1→T2,raw endpoint difference: X_end - X_start,242,0.24373359309117687,0.24373359309117687,0.18363905582022946,0.18363905582022946,0.3694658084820868
fold_train,True,3,LD,T2→T3,raw endpoint difference: X_end - X_start,242,0.3694658084820868,0.3694658084820868,0.29179484185151255,0.29179484185151255,0.3694658084820868
fold_train,True,3,SPH,T0→T1,raw endpoint difference: X_end - X_start,242,0.021910288602103013,0.021910288602103013,-0.08224821546271267,0.08224821546271267,0.09687003739562523
fold_train,True,3,SPH,T1→T2,raw endpoint difference: X_end - X_start,242,-0.09687003739562523,0.09687003739562523,-0.05909348808386555,0.05909348808386555,0.09687003739562523
fold_train,True,3,SPH,T2→T3,raw endpoint difference: X_end - X_start,242,-0.32871190635556286,0.32871190635556286,-0.05741271422768561,0.05741271422768561,0.09687003739562523
fold_train,True,3,BPE,T0→T1,raw endpoint difference: X_end - X_start,242,0.257492143447129,0.257492143447129,0.27315712375266915,0.27315712375266915,0.24275404194931421
fold_train,True,3,BPE,T1→T2,raw endpoint difference: X_end - X_start,242,0.18230123863218292,0.18230123863218292,0.18086986676777875,0.18086986676777875,0.24275404194931421
fold_train,True,3,BPE,T2→T3,raw endpoint difference: X_end - X_start,242,0.24275404194931421,0.24275404194931421,0.039892117243992616,0.039892117243992616,0.24275404194931421
fold_train,True,4,LD,T0→T1,raw endpoint difference: X_end - X_start,225,0.4095904803415947,0.4095904803415947,0.33220650859729417,0.33220650859729417,0.4035321384479824
fold_train,True,4,LD,T1→T2,raw endpoint difference: X_end - X_start,225,0.22499734703215848,0.22499734703215848,0.2071002338191404,0.2071002338191404,0.4035321384479824
fold_train,True,4,LD,T2→T3,raw endpoint difference: X_end - X_start,225,0.4035321384479824,0.4035321384479824,0.2817092607854067,0.2817092607854067,0.4035321384479824
fold_train,True,4,SPH,T0→T1,raw endpoint difference: X_end - X_start,225,-0.014287821323219554,0.014287821323219554,-0.09217530180357815,0.09217530180357815,0.1304266750948167
fold_train,True,4,SPH,T1→T2,raw endpoint difference: X_end - X_start,225,-0.1304266750948167,0.1304266750948167,-0.10304310486067149,0.10304310486067149,0.1304266750948167
fold_train,True,4,SPH,T2→T3,raw endpoint difference: X_end - X_start,225,-0.3452149178255373,0.3452149178255373,-0.0559408049381748,0.0559408049381748,0.1304266750948167
fold_train,True,4,BPE,T0→T1,raw endpoint difference: X_end - X_start,225,0.26385587863463966,0.26385587863463966,0.1466147149554057,0.1466147149554057,0.2665623683101559
fold_train,True,4,BPE,T1→T2,raw endpoint difference: X_end - X_start,225,0.2665623683101559,0.2665623683101559,0.1994473746255809,0.1994473746255809,0.2665623683101559
fold_train,True,4,BPE,T2→T3,raw endpoint difference: X_end - X_start,225,0.2873114201432786,0.2873114201432786,0.04748399805356063,0.04748399805356063,0.2665623683101559
