population,seed,arm,timing,model_family,n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,supplementary
ftv_complete_375,3026,B2,T0_T1,F,375,110,265,0.6593481989708404,0.4223046318898934,0.19643059789657366,1.1266414532427544,0.052473986229750594,False
ftv_complete_375,3026,B2,T0_T2,C+F,375,110,265,0.726106346483705,0.5400010651611841,0.1887354938947084,0.42596951678238537,0.0951142685321569,False
ftv_complete_375,3026,B2,T0_T2,C+F+M,375,110,265,0.7090222984562606,0.4957512844033975,0.20555115271409038,0.3172889452593894,0.13648401468932975,False
ftv_complete_375,3026,B2,T0_T2,F,375,110,265,0.66295025728988,0.43481895924844305,0.19396322798683355,0.9630330684975781,0.030789290939892418,False
ftv_complete_375,3026,B2,T0_T3,C+F,375,110,265,0.7154030874785592,0.5393749537451002,0.1929936281829481,0.6387145341362166,0.12101744457375166,True
ftv_complete_375,3026,B2,T0_T3,C+F+M,375,110,265,0.6971183533447685,0.4910430190761426,0.21085083094508733,0.3030719185294174,0.13884413968956197,True
ftv_complete_375,3026,B2,T0_T3,F,375,110,265,0.6913207547169811,0.4682411335811604,0.1879431858034445,1.159028415610116,0.02985679457877869,True
ftv_complete_375,3026,B3,T0,C+F,375,110,265,0.6880274442538593,0.538897485664505,0.2356217123236572,1.9791826600613769,0.20760909895596014,False
ftv_complete_375,3026,B3,T0,C+F+M,375,110,265,0.6488507718696398,0.48753410405467357,0.2286895115008356,0.28724436041235274,0.1737192971539364,False
ftv_complete_375,3026,B3,T0,F,375,110,265,0.5020926243567754,0.2921751272631997,0.24948439956033697,-5.860876159501371,0.20541501744682783,False
ftv_complete_375,3026,B3,T0_T1,C+F,375,110,265,0.6971526586620925,0.5259975356624463,0.19795462758831528,0.32128685761797604,0.10648855747813783,False
ftv_complete_375,3026,B3,T0_T1,C+F+M,375,110,265,0.659245283018868,0.4635599037423874,0.2304980472342185,-26833252570.691147,0.17948502674276223,False
ftv_complete_375,3026,B3,T0_T1,F,375,110,265,0.6593481989708404,0.4223046318898934,0.19643059789657366,1.1266414532427544,0.052473986229750594,False
ftv_complete_375,3026,B3,T0_T2,C+F,375,110,265,0.726106346483705,0.5400010651611841,0.1887354938947084,0.42596951678238537,0.0951142685321569,False
ftv_complete_375,3026,B3,T0_T2,C+F+M,375,110,265,0.6698627787307032,0.42434051902930947,0.24082486894833496,1331793311.2899208,0.16173115308240787,False
ftv_complete_375,3026,B3,T0_T2,F,375,110,265,0.66295025728988,0.43481895924844305,0.19396322798683355,0.9630330684975781,0.030789290939892418,False
ftv_complete_375,3026,B3,T0_T3,C+F,375,110,265,0.7154030874785592,0.5393749537451002,0.1929936281829481,0.6387145341362166,0.12101744457375166,True
ftv_complete_375,3026,B3,T0_T3,C+F+M,375,110,265,0.6834305317324185,0.48533271327582445,0.20878621902998937,0.3524352098558599,0.13063411778087236,True
ftv_complete_375,3026,B3,T0_T3,F,375,110,265,0.6913207547169811,0.4682411335811604,0.1879431858034445,1.159028415610116,0.02985679457877869,True
full_808,2026,B0,T0,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,2026,B0,T0,C+M,808,275,533,0.662234351014839,0.5156546827323858,0.22717647006555822,0.7833647827013871,0.1298341138007205,False
full_808,2026,B0,T0,M,808,275,533,0.5126044687020297,0.35434569193289084,0.24118033292790464,0.07691916846517471,0.10148400491532185,False
full_808,2026,B0,T0_T1,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,2026,B0,T0_T1,C+M,808,275,533,0.6715265222582296,0.5405531645722406,0.2218625895287682,1.1565935681507036,0.11351319982363338,False
full_808,2026,B0,T0_T1,M,808,275,533,0.5258809483199727,0.3551748389064167,0.2360300789845824,0.1194315997713068,0.07153568446724386,False
full_808,2026,B0,T0_T2,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,2026,B0,T0_T2,C+M,808,275,533,0.6753198021490705,0.5284749493750001,0.2309775259284811,0.6057611994610695,0.14802396428931824,False
full_808,2026,B0,T0_T2,M,808,275,533,0.5382227528568992,0.36928763524809693,0.23779311377087245,0.16866707845637544,0.10417108695822928,False
full_808,2026,B0,T0_T3,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,True
full_808,2026,B0,T0_T3,C+M,808,275,533,0.6583046222070612,0.5165346028382738,0.23010623763326346,1.033873143588076,0.12602803102400573,True
full_808,2026,B0,T0_T3,M,808,275,533,0.5189288760020467,0.3561412686262265,0.24790607866269335,0.12166229599990565,0.1447031577880878,True
full_808,2026,B1,T0,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,2026,B1,T0,C+M,808,275,533,0.6609517311956337,0.5213619929855813,0.22969525892674647,0.501676181077363,0.12939210682096713,False
full_808,2026,B1,T0,M,808,275,533,0.5240047757120929,0.35796825974449165,0.2512255707222065,0.0017314151047089818,0.15766711726450186,False
full_808,2026,B1,T0_T1,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,2026,B1,T0_T1,C+M,808,275,533,0.6790312126897493,0.5404128704391568,0.22838627312372314,1.303595658185814,0.1464824087486957,False
full_808,2026,B1,T0_T1,M,808,275,533,0.5328398430837455,0.3634259444866139,0.24267230911459972,0.08111600881056835,0.12428770959856189,False
full_808,2026,B1,T0_T2,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,2026,B1,T0_T2,C+M,808,275,533,0.6883984308374552,0.5373436316182371,0.23497697899349504,0.5196915573992009,0.16105523767325933,False
full_808,2026,B1,T0_T2,M,808,275,533,0.5502643697765649,0.3927738942671779,0.24478604370213447,0.22418518992567862,0.14197726836856023,False
full_808,2026,B1,T0_T3,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,True
full_808,2026,B1,T0_T3,C+M,808,275,533,0.6948592870544089,0.5440407098673282,0.2110153851386664,0.8003785628502621,0.0924051649373912,True
full_808,2026,B1,T0_T3,M,808,275,533,0.5406378986866792,0.36670435996843226,0.23936152436281882,0.20429945651054252,0.09479172020185507,True
full_808,2026,B2,T0,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,2026,B2,T0,C+M,808,275,533,0.6665666041275797,0.5155886703583442,0.2307145904433196,0.5596407390924242,0.14665181124176827,False
full_808,2026,B2,T0,M,808,275,533,0.5124884871226334,0.3556066074431939,0.24412857567941343,0.10005199802777849,0.12406365962449115,False
full_808,2026,B2,T0_T1,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,2026,B2,T0_T1,C+M,808,275,533,0.6648200579907898,0.5174762999902027,0.21894310394861913,0.43617818908242295,0.09735283380125766,False
full_808,2026,B2,T0_T1,M,808,275,533,0.511635681391779,0.3437347154857954,0.24847351654814942,0.061434434885864676,0.13020614366569797,False
full_808,2026,B2,T0_T2,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,2026,B2,T0_T2,C+M,808,275,533,0.6572403206549547,0.4986578507709523,0.23453244783345617,0.911449390625111,0.13062825161175495,False
full_808,2026,B2,T0_T2,M,808,275,533,0.5218147705952584,0.3490095837686059,0.2465448328289297,0.014706344211986522,0.10628702515678796,False
full_808,2026,B2,T0_T3,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,True
full_808,2026,B2,T0_T3,C+M,808,275,533,0.6515572232645404,0.4888587727419152,0.22687536086976304,0.6115064728632652,0.10195334757387918,True
full_808,2026,B2,T0_T3,M,808,275,533,0.5321098413781341,0.36967373693109107,0.2496897741737781,0.0723186363213446,0.14743601309997664,True
full_808,2026,B3,T0,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,2026,B3,T0,C+M,808,275,533,0.6494217977144807,0.48920330576447,0.22933286338095138,0.39385867884865616,0.12377941029962379,False
full_808,2026,B3,T0,M,808,275,533,0.4894490874978679,0.33422927490534454,0.25104373305093264,-0.0568442953543962,0.1392043102899281,False
full_808,2026,B3,T0_T1,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,2026,B3,T0_T1,C+M,808,275,533,0.6689544601739724,0.521216743943176,0.2272826654567674,0.5525470677020464,0.1235252961393607,False
full_808,2026,B3,T0_T1,M,808,275,533,0.519372334982091,0.36528201527452253,0.24577600056917928,0.0656099768187017,0.13857943852056917,False
full_808,2026,B3,T0_T2,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
